VERSION,MEDRO,RS,CPT_TOT,CPT_BAR,CPT_BARN,CPT_EVO,INDIC
07.16.00.c.r01,CST,SECUET,4,2,0,0,0
07.16.00.c.r01,CST,CSTERR,83,3,0,6,1
07.16.00.c.r01,CST,SECUSO,2,1,0,0,0
07.00.00.a.r00,IMPOSITION,COMICM,9,0,0,3,0
07.00.00.a.r00,IMPOSITION,GAPACH,16,5,0,6,0
07.00.00.a.r00,IMPOSITION,RESMET,3,2,0,0,0
07.00.00.a.r00,IMPOSITION,SUPICM,9,0,0,3,0
07.00.00.a.r00,IMPOSITION,RESFIC,7,2,0,0,0
07.00.00.a.r00,IMPOSITION,ELOIST,2,1,0,1,0
07.00.00.a.r00,IMPOSITION,SOLIEX,3,0,0,1,0
07.00.00.a.r00,IMPOSITION,MAJREV,9,0,0,3,0
07.00.00.a.r00,IMPOSITION,AUSTTA,2,1,0,1,0
07.00.00.a.r00,IMPOSITION,IMPOTA,41,9,0,25,0
07.00.00.a.r00,IMPOSITION,ACMOCO,8,0,0,2,0
07.00.00.a.r00,IMPOSITION,ELOISP,35,16,1,18,0
07.00.00.a.r00,RESPO,RESPIN,7,0,0,2,1
07.00.00.a.r00,RESPO,RESPON,10,0,0,2,1
07.00.00.a.r00,RESPO,COCASO,1,0,0,0,0
07.12.00.b.r01,AOPER,AOPERA,6,0,0,0,1
07.12.00.b.r01,AOPER,CAMPAG,7,0,0,0,0
07.12.00.b.r01,AOPER,AOPERS,12,0,0,0,1
07.18.00.a.r01,COMICM,FORMAT,4,0,0,0,0
07.18.00.a.r01,SUPICM,RA_COM,1,1,0,0,0
07.18.00.a.r01,SUPICM,COMPTE,5,3,0,0,0
07.00.00.a.r00,INDEXDEG,SOLBAS,56,8,0,7,0
07.00.00.a.r00,INDEXDEG,IDEGRE,258,29,0,67,0
07.00.00.a.r00,INDEXDEG,COCASO,3,0,0,3,0
07.18.00.b.r01,AOPER,AOPERA,19,0,0,1,1
07.18.00.b.r01,AOPER,CAMPAG,16,1,0,2,0
07.18.00.b.r01,AOPER,AOPERS,36,2,0,5,1
